Date,TLT,EMB,AGG,Cash,SPY,EFA,VWO,GLD,DBC
1981-02-24,,,1027.538587,,1180.1927,1207.658106,,982.421875,
1981-02-25,,,1027.538587,,1190.661479,1207.658106,,977.539063,
1981-02-26,,,1027.538587,,1205.29924,1207.658106,,960.9375,
1981-02-27,,,1008.042242,,1216.138596,1190.445446,,955.078125,
1981-03-02,,,1008.042242,,1222.994256,1190.445446,,909.179688,
1981-03-03,,,1008.042242,,1209.560867,1190.445446,,919.921875,
1981-03-04,,,1008.042242,,1212.340189,1190.445446,,909.179688,
1981-03-05,,,1008.042242,,1203.724291,1190.445446,,901.367188,
1981-03-06,,,1008.042242,,1202.983139,1190.445446,,912.109375,
1981-03-09,,,1008.042242,,1214.748935,1190.445446,,926.269531,
1981-03-10,,,1008.042242,,1208.634427,1190.445446,,951.660156,
1981-03-11,,,1008.042242,,1203.909579,1190.445446,,930.175781,
1981-03-12,,,1008.042242,,1233.926255,1190.445446,,933.59375,
1981-03-13,,,1008.042242,,1233.185103,1190.445446,,960.9375,
1981-03-16,,,1008.042242,,1247.73022,1190.445446,,976.074219,
1981-03-17,,,1008.042242,,1240.689272,1190.445446,,963.378906,
1981-03-18,,,1008.042242,,1243.468594,1190.445446,,988.28125,
1981-03-19,,,1008.042242,,1236.427645,1190.445446,,996.09375,
1981-03-20,,,1008.042242,,1242.171577,1190.445446,,1009.277344,
1981-03-23,,,1008.042242,,1257.087271,1190.445446,,1027.34375,
1981-03-24,,,1008.042242,,1247.637576,1190.445446,,1047.363281,
1981-03-25,,,1008.042242,,1270.242727,1190.445446,,1031.25,
1981-03-26,,,1008.042242,,1262.460626,1190.445446,,1053.710938,
1981-03-27,,,1008.042242,,1247.452288,1190.445446,,1052.246094,
1981-03-30,,,1008.042242,,1244.024458,1190.445446,,1028.320313,
1981-03-31,,,1032.006499,,1259.959237,1232.175062,,1003.417969,
1981-04-01,,,1032.006499,,1265.239948,1232.175062,,1004.394531,
1981-04-02,,,1032.006499,,1262.923847,1232.175062,,1014.648438,
1981-04-03,,,1032.006499,,1255.234389,1232.175062,,1021.484375,
1981-04-06,,,1032.006499,,1240.781916,1232.175062,,1042.480469,
1981-04-07,,,1032.006499,,1240.596628,1232.175062,,1004.394531,
1981-04-08,,,1032.006499,,1249.861034,1232.175062,,993.164063,
1981-04-09,,,1032.006499,,1247.637576,1232.175062,,982.421875,
1981-04-10,,,1032.006499,,1246.155271,1232.175062,,963.867188,
1981-04-13,,,1032.006499,,1233.555679,1232.175062,,925.292969,
1981-04-14,,,1032.006499,,1229.201408,1232.175062,,943.359375,
1981-04-15,,,1032.006499,,1243.005373,1232.175062,,930.175781,
1981-04-16,,,1032.006499,,1247.915509,1232.175062,,942.382813,
1981-04-17,,,1032.006499,,1247.915509,1232.175062,,942.382813,
1981-04-20,,,1032.006499,,1254.863813,1232.175062,,942.382813,
1981-04-21,,,1032.006499,,1243.561238,1232.175062,,939.453125,
1981-04-22,,,1032.006499,,1242.727441,1232.175062,,978.515625,
1981-04-23,,,1032.006499,,1240.87456,1232.175062,,954.101563,
1981-04-24,,,1032.006499,,1251.991847,1232.175062,,965.820313,
1981-04-27,,,1032.006499,,1255.141745,1232.175062,,943.359375,
1981-04-28,,,1032.006499,,1244.487678,1232.175062,,942.871094,
1981-04-29,,,1032.006499,,1232.629238,1232.175062,,932.128906,
1981-04-30,,,995.207149,,1230.405781,1264.336351,,942.871094,
1981-05-01,,,995.207149,,1229.571984,1264.336351,,952.148438,
1981-05-04,,,995.207149,,1210.579952,1264.336351,,952.148438,
1981-05-05,,,995.207149,,1207.33741,1264.336351,,930.175781,
